CID,HA,Dipole,DonorType,SMILES,mlp_adsorption_energy,dft_adsorption_energy
81432827,18.0,0.9970072464505962,amine_primary,CC1=C(C2=CC=CC=C2C=C1)CCCCCCN,-1.3891987800598145,
115037292,17.0,0.9976749035076506,amine_primary,CC1=C(C=C(C=C1)C(C)N)C2=CC=C(C=C2)F,-1.5565264225006104,
103393890,14.0,0.9989902896054595,amine_primary,CC1=CC(=CC(=C1)C=C2CC(C2)N)C,-1.2598619759082794,
54306638,19.0,1.0058162430454185,amine_primary,CC(C)C1=CC2=C(C=C1)C(C3=CC=CC=C3CC2)N,-1.2790038883686066,
64169348,19.0,1.0105294364178612,amine_primary,CCC1=CC(=C(C=C1)CC)C2=CC=CC=C2C(C)N,-1.448321282863617,
104992595,20.0,1.0110278453816195,amine_primary,CCC1CCCC(C1)C(C2=CC=CC=C2C(C)(C)C)N,-1.2396847009658813,
92301536,18.0,1.012164262264283,amine_primary,C1CC2=C(C1)C=C(C=C2)[C@H](CC3=CC=CC=C3)N,-1.487625390291214,
82930633,17.0,1.0159171538526162,amine_primary,CCC(CC)CC(CC1=CC=C(C=C1)Cl)CN,-1.1836185604333878,
53885665,8.0,1.01716530815104,amine_primary,CCCC=CC(C)N,-1.0610240697860718,
65002873,18.0,1.0290610443146704,amine_primary,CC(C)C1=CC=C(C=C1)C2(CC3(C2)CCCC3)N,-1.440567135810852,
116505893,19.0,1.0334327070119274,amine_primary,C1CC(C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)Cl)N,-1.2235693037509918,
62724303,16.0,1.0335437295581644,amine_primary,CCC(CC)(CC1=CC(=C(C=C1)C)C)CN,-1.329426884651184,
43167287,18.0,1.0388706681955169,amine_primary,C1CC2CC1CC2CC(C3=C(C=CC(=C3)Cl)Cl)N,-1.1205653324723244,
84050490,13.0,1.0399236144323294,amine_primary,CC(C1=CC(=C(C=C1)C2CC2)F)N,-0.9393106698989868,
62899974,14.0,1.0400987962520676,amine_primary,CC1=C(C=C(C=C1)CC(CC=C)N)C,-1.1791647374629974,
107126553,21.0,1.0405373085122898,amine_primary,CC1=CC(=CC(=C1F)C)C(C2CCC3=CC=CC=C3C2)N,-1.2799711227416992,
19786995,24.0,1.0408053609076002,amine_primary,CC1(CCC(C2=C1C=CC(=C2)C#CC3=CC=C(C=C3)CN)(C)C)C,-1.3632725775241852,
63407514,19.0,1.04473876739451,amine_primary,CC1CC(CC(C1)(CC2=C(C=CC=C2Cl)F)N)(C)C,-1.074975922703743,
55187147,19.0,1.044879861060591,amine_primary,CC1=CC(=C(C=C1)C)C2(CCC(CC2)C(C)(C)C)N,-1.4016766548156738,
43106526,18.0,1.0467218350411918,amine_primary,CC1CC1C(C2=C(C=C(C=C2)C(C)C)C(C)C)N,-1.2443331480026245,
20059662,11.0,1.051158979767095,amine_primary,CC(C1=CC=CC=C1C=C)N,-1.0504599213600159,
23317125,18.0,1.053273249489419,amine_primary,C1CCC2=C(C=CC=C2CN)C3=CC=CC=C3C1,-1.1165930032730103,
21880703,22.0,1.060513402797909,amine_primary,C1C(C1(C2=CC=CC=C2)N)(C3=CC=CC=C3)C4=CC=CC=C4,-1.4228066802024841,
