query_name,query_cid,query_smiles,query_journal,rank,ref_cid,ref_smiles,ref_status,distance
carbazole,6854,C1=CC=C2C(=C1)C3=CC=CC=C3N2,NATURE,6,12065991,C1=CC=C(C=C1)C2=C(C3=CC=CC=C3N2)C4=CC5=C(C=C4)NC=C5,Success,0.000606
carbazole,6854,C1=CC=C2C(=C1)C3=CC=CC=C3N2,NATURE,7,150496572,C1=CC=C(C=C1)C(=CC2=CC3=CC=CC=C3N2)C4=CC5=CC=CC=C5N4,Success,0.000622
carbazole,6854,C1=CC=C2C(=C1)C3=CC=CC=C3N2,NATURE,8,2831517,C1=CC=C(C=C1)C2=CC3=C(N2)C4=CC=CC=C4C=C3,Success,0.000637
carbazole,6854,C1=CC=C2C(=C1)C3=CC=CC=C3N2,NATURE,9,13227213,C1=CC=C(C=C1)C2=C(C3=CC=CC=C3N2)C4=CC5=CC=CC=C5N4,Success,0.000665
carbazole,6854,C1=CC=C2C(=C1)C3=CC=CC=C3N2,NATURE,10,19690652,C1=CC=C2C(=C1)C=C(N2)C3=CC(=CC=C3)C4=CC5=CC=CC=C5N4,Success,0.000678
triphenylamine,11775,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3,NATURE,1,11775,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3,Success,0.000000
triphenylamine,11775,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3,NATURE,2,15865008,C1=CC=C(C=C1)N(C2=CC=CC=C2)PN(C3=CC=CC=C3)C4=CC=CC=C4,Success,0.000443
triphenylamine,11775,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3,NATURE,3,89100,C1=CC=C(C=C1)N(CN(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,Success,0.000490
triphenylamine,11775,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3,NATURE,4,53972751,C1=CC=C(C=C1)N(C2=CC=CC=C2)PC3=CC=CC=C3,Success,0.000500
triphenylamine,11775,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3,NATURE,5,9998755,C1=CC=C(C=C1)N(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,Success,0.000584
triphenylamine,11775,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3,NATURE,6,141417659,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3N4C=CC=C4,Success,0.000622
triphenylamine,11775,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3,NATURE,7,59757685,C1=CC=C(C=C1)C2=CC(=CC=C2)N(C3=CC=CC=C3)C4=CC=CC=C4,Success,0.000648
triphenylamine,11775,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3,NATURE,8,139840306,C1=CC=C(C=C1)N2C=CC=C2N(C3=CC=CC=C3)C4=CC=CC=C4,Success,0.000654
triphenylamine,11775,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3,NATURE,9,9901683,C1=CC=C(C=C1)C2=CC=C(C=C2)N(C3=CC=CC=C3)C4=CC=CC=C4,Success,0.000655
triphenylamine,11775,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3,NATURE,10,67459143,C1=CC=C(C=C1)N(C2=CC=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4,Success,0.000672
theophylline,2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,SCIENCE,1,12203054,C[15N]1C2=C(C(=O)[15N]([13C]1=O)C)NC=N2,Success,0.000000
theophylline,2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,SCIENCE,2,2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,Success,0.000000
